seed,time,train_position,n1_quality,n2_quality,n3_quality,n1_latency,n2_latency,n3_latency,n1_loss,n2_loss,n3_loss,n1_load,n2_load,n3_load,n1_score,n2_score,n3_score,selected_link
1003,56,1120,0,0,0.277141,20,35,50,7.11985,8.5424,5.65151,0,0,12,0,0,0.370678,3
1004,1,20,0.489069,0,0,20,35,50,3.47963,7.54419,8.65211,12,0,0,0.684873,0,0,1
1004,6,120,0.772037,0.184135,0,20,35,50,1.35574,6.42926,7.36492,9,3,0,0.844144,0.367492,0,1
1004,11,220,0.892482,0.267787,0,20,35,50,0.675267,6.16095,7.75675,8,4,0,0.907024,0.407745,0,1
1004,16,320,0.830209,0.624702,0,20,35,50,1.90839,3.63855,8.49548,7,5,0,0.861215,0.621647,0,1
1004,21,420,0.55159,0.768415,0.128294,20,35,50,4.10647,1.87594,6.40214,5,5,2,0.702183,0.73201,0.280262,2
1004,26,520,0.250373,0.991613,0.376606,20,35,50,5.76289,0,4.66785,3,6,3,0.522615,0.854501,0.439912,2
1004,31,620,0.0616523,0.708935,0.525164,20,35,50,7.18241,1.74412,3.93479,3,5,4,0.423304,0.702585,0.514621,2
1004,36,720,0,0.592265,0.909186,20,35,50,6.90368,2.97356,0.787936,0,5,7,0,0.617795,0.741901,3
1004,41,820,0,0.354003,0.894356,20,35,50,7.95576,4.83112,1.14039,0,5,7,0,0.486699,0.718305,3
1004,46,920,0,0.175924,0.720053,20,35,50,8.39044,6.91687,2.65114,0,4,8,0,0.363752,0.613693,3
1004,51,1020,0,0,0.561588,20,35,50,7.79865,8.46666,3.52188,0,0,12,0,0,0.531779,3
1004,56,1120,0,0,0.254324,20,35,50,7.70525,7.94984,5.11946,0,0,12,0,0,0.36781,3
1005,1,20,0.511203,0,0,20,35,50,4.45344,8.17248,8.01469,12,0,0,0.664562,0,0,1
1005,6,120,0.836287,0.144444,0,20,35,50,1.60426,5.92663,8.98151,9,3,0,0.864019,0.367359,0,1
1005,11,220,0.868426,0.345445,0,20,35,50,0.427254,5.20831,8.11601,8,4,0,0.91046,0.46789,0,1
1005,16,320,0.780104,0.55967,0,20,35,50,2.01058,3.42928,7.83123,7,5,0,0.832309,0.597519,0,1
1005,21,420,0.463126,0.917039,0.176735,20,35,50,4.9971,0.717639,6.82386,4,6,2,0.63405,0.799009,0.310654,2
1005,26,520,0.285711,0.994083,0.430322,20,35,50,5.53585,0.243995,5.22574,3,6,3,0.548137,0.869887,0.442468,2
1005,31,620,0.115124,0.719562,0.52256,20,35,50,6.58206,1.79426,4.06704,3,5,4,0.44738,0.714093,0.490859,2
1005,36,720,0,0.38127,0.818843,20,35,50,8.46754,5.78968,0.816808,0,5,7,0,0.475833,0.704243,3
1005,41,820,0,0.409991,0.951419,20,35,50,7.98914,4.57072,1.27918,0,5,7,0,0.516317,0.757848,3
1005,46,920,0,0,0.655474,20,35,50,8.44328,7.19718,2.13972,0,0,12,0,0,0.61577,3
1005,51,1020,0,0,0.431914,20,35,50,7.92122,8.24424,4.97342,0,0,12,0,0,0.449569,3
1005,56,1120,0,0,0.29595,20,35,50,8.03032,8.91966,5.46798,0,0,12,0,0,0.381243,3
1006,1,20,0.627318,0,0,20,35,50,2.73827,7.83758,9.04459,12,0,0,0.754546,0,0,1
1006,6,120,0.790097,0.0856761,0,20,35,50,1.79133,7.73079,7.63517,9,3,0,0.834021,0.303528,0,1
1006,11,220,0.935973,0.385356,0,20,35,50,1.21622,4.6069,7.76724,8,4,0,0.910556,0.494149,0,1
1006,16,320,0.598357,0.68191,0,20,35,50,3.1592,2.91847,7.88985,6,6,0,0.721211,0.675268,0,1
1006,21,420,0.544644,0.794495,0.127283,20,35,50,3.34752,1.57523,7.41582,5,5,2,0.703407,0.75013,0.255044,2
1006,26,520,0.280733,0.918981,0.31462,20,35,50,5.52765,0,6.64927,4,6,2,0.539477,0.832649,0.367347,2
1006,31,620,0.205802,0.742658,0.591979,20,35,50,6.29977,1.34909,3.23117,3,5,4,0.493938,0.728237,0.552735,2
1006,36,720,0,0.605083,0.907686,20,35,50,7.98326,2.93174,1.21159,0,5,7,0,0.624054,0.737578,3
1006,41,820,0,0.24984,0.977272,20,35,50,7.76712,6.07858,0.823777,0,4,8,0,0.410044,0.774381,3
1006,46,920,0,0.0629073,0.686804,20,35,50,7.99187,7.46515,3.47501,0,4,8,0,0.30387,0.594646,3
1006,51,1020,0,0,0.441292,20,35,50,7.95,8.7744,4.5597,0,0,12,0,0,0.465057,3
1006,56,1120,0,0,0.285459,20,35,50,8.23873,8.01123,6.34432,0,0,12,0,0,0.358796,3
1007,1,20,0.521496,0,0,20,35,50,3.74049,7.56132,8.08496,12,0,0,0.686646,0,0,1
1007,6,120,0.841194,0.0938857,0,20,35,50,0.879602,6.50686,8.17196,9,3,0,0.867953,0.339684,0,1
1007,11,220,0.960991,0.334051,0,20,35,50,0.185672,5.47573,8.07849,8,4,0,0.952489,0.456778,0,1
1007,16,320,0.731825,0.602037,0,20,35,50,2.33455,3.03254,7.29296,7,5,0,0.818408,0.635391,0,1
1007,21,420,0.534001,0.911291,0.122747,20,35,50,3.79974,0.375641,6.84507,5,5,2,0.697869,0.815225,0.27815,2
1007,26,520,0.261472,0.917783,0.339203,20,35,50,6.31437,0.592162,4.9227,3,6,3,0.519247,0.813961,0.408977,2
1007,31,620,0.0470472,0.805997,0.517098,20,35,50,7.96214,1.80275,3.47278,0,7,5,0,0.748471,0.525124,2
1007,36,720,0,0.53088,0.917462,20,35,50,7.74806,4.19533,0.0409554,0,5,7,0,0.561228,0.778185,3
1007,41,820,0,0.302817,0.923212,20,35,50,8.33886,5.49884,1.15539,0,4,8,0,0.450967,0.743498,3
1007,46,920,0,0.118747,0.664852,20,35,50,7.21334,6.51478,2.60944,0,4,8,0,0.352946,0.606679,3
1007,51,1020,0,0,0.639166,20,35,50,7.58831,8.07562,2.94614,0,0,12,0,0,0.589404,3
1007,56,1120,0,0,0.334515,20,35,50,7.69502,8.53707,5.05456,0,0,12,0,0,0.407164,3
1008,1,20,0.614501,0,0,20,35,50,3.29182,8.26196,8.31349,12,0,0,0.74438,0,0,1
1008,6,120,0.836876,0.0408358,0,20,35,50,0.0583982,8.04144,8.8079,12,0,0,0.887335,0,0,1
1008,11,220,0.960411,0.472987,0,20,35,50,0,4.54381,8.23396,8,4,0,0.94997,0.54763,0,1
1008,16,320,0.702446,0.557109,0,20,35,50,2.19322,3.10841,8.20883,7,5,0,0.795573,0.594853,0,1
1008,21,420,0.514801,0.834798,0.211555,20,35,50,3.76335,1.01944,6.68134,5,5,2,0.686814,0.769653,0.32797,2
1008,26,520,0.309239,0.88527,0.395287,20,35,50,5.6638,1.27434,4.96722,4,5,3,0.554335,0.790916,0.447761,2
1008,31,620,0.0131194,0.826234,0.623982,20,35,50,8.64388,2.12637,3.25385,0,7,5,0,0.732803,0.561254,2
1008,36,720,0,0.506571,0.801555,20,35,50,7.25892,4.41104,0.938394,0,5,7,0,0.547248,0.699422,3
1008,41,820,0,0.269867,0.846169,20,35,50,7.17289,5.28087,0.353126,0,4,8,0,0.4144,0.711531,3
1008,46,920,0,0.0999781,0.753487,20,35,50,8.01005,6.6955,1.86494,0,4,8,0,0.327337,0.658783,3
1008,51,1020,0,0,0.425618,20,35,50,7.75296,6.18238,5.52844,0,0,12,0,0,0.436263,3
1008,56,1120,0,0,0.329888,20,35,50,8.26105,8.49613,5.66505,0,0,12,0,0,0.387343,3
1009,1,20,0.579207,0,0,20,35,50,3.06631,8.01671,8.47393,12,0,0,0.721311,0,0,1
1009,6,120,0.783227,0.126916,0,20,35,50,1.15435,7.22861,7.8243,9,3,0,0.855776,0.330301,0,1
1009,11,220,1,0.32527,0,20,35,50,0,5.76549,7.69551,8,4,0,0.967755,0.437448,0,1
1009,16,320,0.745923,0.604989,0,20,35,50,1.7742,3.05066,8.29177,7,5,0,0.826096,0.631181,0,1
1009,21,420,0.395586,0.885872,0.134837,20,35,50,5.15413,0.993086,7.15552,4,6,2,0.592851,0.796625,0.284669,2
1009,26,520,0.314906,0.912668,0.337914,20,35,50,6.26059,1.41567,5.60163,4,6,2,0.540675,0.802456,0.397239,2
1009,31,620,0.0653715,0.729964,0.593212,20,35,50,7.82444,1.97668,3.40556,3,5,4,0.402003,0.695483,0.550495,2
1009,36,720,0,0.467136,0.792976,20,35,50,7.47909,4.39324,1.14943,0,5,7,0,0.548431,0.674291,3
1009,41,820,0,0.373051,1,20,35,50,6.97986,4.29419,0,0,5,7,0,0.504452,0.789442,3
1009,46,920,0,0,0.691272,20,35,50,8.30795,8.3802,1.79113,0,0,12,0,0,0.628156,3
1009,51,1020,0,0,0.5042,20,35,50,8.82306,9.12887,3.37535,0,0,12,0,0,0.518862,3
1009,56,1120,0,0,0.223711,20,35,50,7.61013,8.02276,6.4265,0,0,12,0,0,0.323662,3
1010,1,20,0.629441,0,0,20,35,50,3.49924,8.08629,8.3584,12,0,0,0.744752,0,0,1
1010,6,120,0.901886,0.161292,0,20,35,50,1.59314,6.54368,7.51371,9,3,0,0.905913,0.372801,0,1
1010,11,220,0.980961,0.297508,0,20,35,50,0,4.73072,8.28608,8,4,0,0.967772,0.471664,0,1
1010,16,320,0.742275,0.548226,0,20,35,50,1.18226,3.34552,7.09036,7,5,0,0.84655,0.60615,0,1
1010,21,420,0.506975,0.785938,0.147305,20,35,50,4.13289,1.6096,6.58054,5,5,2,0.675179,0.73664,0.305437,2
1010,26,520,0.191052,0.902654,0.325159,20,35,50,6.6484,0.631193,4.93633,3,6,3,0.476635,0.801594,0.403791,2
1010,31,620,0.0745356,0.753492,0.553737,20,35,50,7.57158,1.71891,3.12131,3,5,4,0.422811,0.711035,0.558157,2
1010,36,720,0,0.48526,0.870899,20,35,50,7.70174,4.07047,1.34611,0,5,7,0,0.558331,0.714678,3
1010,41,820,0,0.340791,0.903771,20,35,50,7.62478,5.64481,0.578,0,5,7,0,0.470104,0.746958,3
1010,46,920,0,0.0386874,0.85829,20,35,50,7.92866,8.25199,2.21173,0,0,12,0,0,0.693581,3
1010,51,1020,0,0,0.512067,20,35,50,8.59114,7.29553,3.74432,0,0,12,0,0,0.503072,3
1010,56,1120,0,0,0.38135,20,35,50,7.40698,7.28391,5.16751,0,0,12,0,0,0.435516,3
1011,1,20,0.596635,0,0,20,35,50,4.13541,8.86654,7.38787,12,0,0,0.710518,0,0,1
1011,6,120,0.850217,0.183029,0,20,35,50,1.01966,7.01084,9.09636,9,3,0,0.889968,0.378972,0,1
1011,11,220,0.972369,0.327224,0,20,35,50,0,5.18721,7.91961,8,4,0,0.962903,0.46321,0,1
1011,16,320,0.74519,0.585932,0,20,35,50,1.5321,3.7041,8.41007,7,5,0,0.823542,0.606119,0,1
1011,21,420,0.502559,0.923706,0.179462,20,35,50,3.8082,0.551609,6.72171,4,6,2,0.663211,0.831733,0.306964,2
1011,26,520,0.274474,0.949889,0.379192,20,35,50,5.66424,0,4.90589,3,6,3,0.532323,0.839943,0.420627,2
1011,31,620,0.0976786,0.706647,0.501681,20,35,50,7.18506,2.52504,2.54438,3,5,4,0.419103,0.692448,0.521713,2
1011,36,720,0,0.439759,0.830201,20,35,50,7.67628,4.05855,1.58112,0,5,7,0,0.525318,0.680023,3
1011,41,820,0,0.27552,0.887768,20,35,50,7.91736,6.08737,0.334982,0,4,8,0,0.42682,0.730978,3
1011,46,920,0,0.0347223,0.741067,20,35,50,8.26062,8.22741,2.47755,0,0,12,0,0,0.637352,3
1011,51,1020,0,0,0.607859,20,35,50,7.88051,8.09368,3.74324,0,0,12,0,0,0.552566,3
1011,56,1120,0,0,0.338467,20,35,50,7.63406,8.27688,5.23909,0,0,12,0,0,0.396,3
1012,1,20,0.571437,0,0,20,35,50,3.75261,7.73105,6.98514,12,0,0,0.703907,0,0,1
1012,6,120,0.855851,0.0472303,0,20,35,50,1.30969,7.73975,7.70078,12,0,0,0.876733,0,0,1
1012,11,220,0.990243,0.438703,0,20,35,50,0.522149,4.22685,8.43834,8,4,0,0.957648,0.535291,0,1
1012,16,320,0.695462,0.64325,0,20,35,50,2.73341,3.24935,8.56484,7,5,0,0.775902,0.645576,0,1
1012,21,420,0.56573,0.895645,0.189873,20,35,50,3.07937,1.60259,6.38314,5,5,2,0.719798,0.79183,0.306344,2
1012,26,520,0.408959,1,0.423904,20,35,50,4.37792,0,3.81853,4,5,3,0.634431,0.854038,0.473041,2
1012,31,620,0.0732852,0.732463,0.571597,20,35,50,6.92247,2.26364,2.86684,3,5,4,0.422014,0.699497,0.57011,2
1012,36,720,0,0.564977,0.847992,20,35,50,8.62523,2.29957,0,0,5,7,0,0.62028,0.734042,3
1012,41,820,0,0.325263,1,20,35,50,8.04061,5.26712,0,0,4,8,0,0.451279,0.805745,3
1012,46,920,0,0.0785117,0.730479,20,35,50,8.49467,7.07283,2.3137,0,4,8,0,0.315074,0.633431,3
1012,51,1020,0,0,0.483814,20,35,50,7.45675,8.13393,3.32291,0,0,12,0,0,0.509344,3
1012,56,1120,0,0,0.291903,20,35,50,8.15871,8.19725,5.40738,0,0,12,0,0,0.382464,3
1013,1,20,0.628713,0,0,20,35,50,3.23056,6.79328,7.81523,12,0,0,0.740059,0,0,1
1013,6,120,0.878474,0.22168,0,20,35,50,0.192674,6.63146,7.81067,9,3,0,0.912697,0.374164,0,1
1013,11,220,0.938095,0.432003,0,20,35,50,0.855019,4.51799,8.30147,8,4,0,0.923668,0.528417,0,1
1013,16,320,0.702398,0.580339,0,20,35,50,2.22647,2.20235,8.34728,7,5,0,0.796361,0.638016,0,1
1013,21,420,0.476868,0.700462,0.118749,20,35,50,4.10564,2.82303,7.15937,5,5,2,0.652796,0.679953,0.267826,2
1013,26,520,0.250706,0.943653,0.402586,20,35,50,5.6346,0.148727,5.88878,3,6,3,0.525221,0.831156,0.417253,2
1013,31,620,0.119911,0.84438,0.531065,20,35,50,7.19414,0.463876,3.98416,3,5,4,0.435908,0.785431,0.526087,2
1013,36,720,0,0.615251,0.782292,20,35,50,7.11067,3.19965,1.90925,0,6,6,0,0.626394,0.671095,3
1013,41,820,0,0.293817,1,20,35,50,8.15574,5.35036,0.355762,0,4,8,0,0.442903,0.797996,3
1013,46,920,0,0.0597782,0.777826,20,35,50,7.88819,7.28331,2.11982,0,4,8,0,0.300278,0.651621,3
1013,51,1020,0,0,0.417585,20,35,50,7.54854,7.59766,4.50264,0,0,12,0,0,0.444865,3
1013,56,1120,0,0,0.256326,20,35,50,8.48945,8.13219,6.2128,0,0,12,0,0,0.352963,3
1014,1,20,0.663207,0,0,20,35,50,2.75608,7.93981,8.35576,12,0,0,0.766447,0,0,1
1014,6,120,0.846937,0.128323,0,20,35,50,1.75109,7.52913,7.25999,9,3,0,0.883265,0.319711,0,1
1014,11,220,1,0.344843,0,20,35,50,0,5.22724,8.37042,8,4,0,0.980136,0.460974,0,1
1014,16,320,0.764552,0.696351,0,20,35,50,1.1565,3.1315,7.66601,7,5,0,0.83506,0.67891,0,1
1014,21,420,0.519909,0.761913,0.0555268,20,35,50,3.46357,1.59811,7.01036,5,5,2,0.698998,0.716561,0.243364,2
1014,26,520,0.307886,0.904435,0.44904,20,35,50,4.68912,0.687751,3.82561,4,5,3,0.571536,0.798368,0.48124,2
1014,31,620,0.0782513,0.744932,0.644912,20,35,50,6.32989,2.41348,2.75389,3,5,4,0.435472,0.701614,0.600779,2
1014,36,720,0,0.543912,0.891727,20,35,50,7.92875,2.77477,0.626997,0,5,7,0,0.620475,0.751037,3
1014,41,820,0,0.313364,0.919217,20,35,50,8.4287,5.7964,0,0,4,8,0,0.438219,0.766822,3
1014,46,920,0,0.135143,0.704782,20,35,50,7.65983,7.01949,1.44346,0,4,8,0,0.351871,0.627959,3
1014,51,1020,0,0,0.485004,20,35,50,7.63347,8.19031,3.84101,0,0,12,0,0,0.486571,3
1014,56,1120,0,0,0.270682,20,35,50,8.01186,7.90799,5.87377,0,0,12,0,0,0.363772,3
1015,1,20,0.494359,0,0,20,35,50,4.31786,8.51888,8.12053,12,0,0,0.655501,0,0,1
1015,6,120,0.827219,0.220467,0,20,35,50,2.00519,6.36055,8.08372,8,4,0,0.85543,0.392528,0,1
1015,11,220,0.974802,0.390167,0,20,35,50,0,4.60739,7.37105,8,4,0,0.958481,0.502775,0,1
1015,16,320,0.830224,0.646716,0,20,35,50,1.19766,2.15727,7.23995,7,5,0,0.862225,0.677875,0,1
1015,21,420,0.480171,0.728002,0.0901146,20,35,50,3.18272,2.10017,7.2543,5,5,2,0.681166,0.7002,0.260577,2
1015,26,520,0.306737,0.934874,0.486704,20,35,50,5.19612,0.278173,4.30557,3,6,3,0.556213,0.838656,0.498635,2
1015,31,620,0.12436,0.752085,0.63682,20,35,50,7.28622,1.68126,3.41982,3,5,4,0.438919,0.718038,0.568489,2
1015,36,720,0,0.548434,0.826768,20,35,50,7.96267,3.65716,1.9158,0,6,6,0,0.605262,0.680226,3
1015,41,820,0,0.304808,0.946354,20,35,50,7.72929,5.41598,0.839574,0,4,8,0,0.453945,0.76104,3
1015,46,920,0,0.11933,0.701373,20,35,50,8.54019,7.81216,2.09347,0,4,8,0,0.312865,0.621496,3
1015,51,1020,0,0,0.587898,20,35,50,7.72007,8.00472,3.40027,0,0,12,0,0,0.545457,3
1015,56,1120,0,0,0.323694,20,35,50,8.66039,8.63399,5.52172,0,0,12,0,0,0.396523,3
1016,1,20,0.689715,0,0,20,35,50,3.11336,7.82631,8.38735,12,0,0,0.766538,0,0,1
1016,6,120,0.817967,0.153355,0,20,35,50,1.81806,7.0172,7.96393,9,3,0,0.861706,0.34232,0,1
1016,11,220,1,0.410565,0,20,35,50,0.337494,4.37529,7.61735,8,4,0,0.979381,0.524988,0,1
1016,16,320,0.708879,0.614481,0,20,35,50,1.76381,3.41451,8.44148,7,5,0,0.812356,0.625729,0,1
1016,21,420,0.553034,0.906178,0.0548209,20,35,50,3.97103,1.55147,7.8576,5,6,1,0.687969,0.78914,0.227843,2
1016,26,520,0.305992,0.975537,0.35028,20,35,50,5.17,0.921361,5.67264,4,5,3,0.56773,0.82559,0.420832,2
1016,31,620,0.138518,0.736506,0.592516,20,35,50,7.18512,2.83444,3.08481,3,5,4,0.448236,0.686596,0.548607,2
1016,36,720,0,0.45653,0.809458,20,35,50,7.50764,4.97237,1.61927,0,5,7,0,0.533553,0.684936,3
1016,41,820,0,0.267372,1,20,35,50,8.25654,5.34262,0.305364,0,4,8,0,0.424735,0.790191,3
1016,46,920,0,0.136918,0.741746,20,35,50,8.48299,6.37212,1.80548,0,4,8,0,0.350797,0.643812,3
1016,51,1020,0,0,0.580207,20,35,50,7.70519,7.49946,3.84615,0,0,12,0,0,0.545448,3
1016,56,1120,0,0,0.321391,20,35,50,7.57964,7.97907,5.15867,0,0,12,0,0,0.403887,3
1017,1,20,0.578137,0,0,20,35,50,3.39585,8.34433,8.55923,12,0,0,0.72088,0,0,1
1017,6,120,0.778294,0.0962018,0,20,35,50,2.22788,7.33079,8.24248,9,3,0,0.829422,0.319499,0,1
1017,11,220,0.99855,0.423619,0,20,35,50,0,4.28821,7.96985,8,4,0,0.965423,0.544062,0,1
1017,16,320,0.654924,0.587431,0,20,35,50,2.90955,3.35965,8.04027,7,5,0,0.76703,0.615031,0,1
1017,21,420,0.410775,0.852113,0.173392,20,35,50,4.46596,1.92299,6.43076,4,6,2,0.621769,0.769795,0.306033,2
1017,26,520,0.291304,0.996204,0.390925,20,35,50,6.09709,0,4.9885,3,6,3,0.546833,0.859014,0.448496,2
1017,31,620,0.0471574,0.726997,0.632274,20,35,50,7.95776,2.66171,2.42563,0,6,6,0,0.678975,0.583053,2
1017,36,720,0,0.531417,0.811027,20,35,50,8.89361,4.34574,0.710998,0,5,7,0,0.572397,0.702873,3
1017,41,820,0,0.281822,0.938413,20,35,50,8.79902,5.10966,0.369741,0,4,8,0,0.44817,0.777713,3
1017,46,920,0,0.0119304,0.706306,20,35,50,8.27844,8.50966,1.9095,0,0,12,0,0,0.630118,3
1017,51,1020,0,0,0.598121,20,35,50,8.23283,8.19405,4.15428,0,0,12,0,0,0.549272,3
1017,56,1120,0,0,0.261325,20,35,50,7.99563,8.5416,5.76814,0,0,12,0,0,0.368987,3
1018,1,20,0.516795,0,0,20,35,50,3.40378,9.18621,7.20117,12,0,0,0.699611,0,0,1
1018,6,120,0.724394,0.113272,0,20,35,50,2.43588,6.55109,7.78498,9,3,0,0.795956,0.338304,0,1
1018,11,220,0.992112,0.367286,0,20,35,50,0,4.68456,7.6103,8,4,0,0.960856,0.486108,0,1
1018,16,320,0.713446,0.59621,0,20,35,50,1.68122,3.18924,8.711,7,5,0,0.80594,0.61629,0,1
1018,21,420,0.49286,0.74668,0.0973214,20,35,50,4.51878,2.27793,7.48584,5,5,2,0.665447,0.706349,0.251536,2
1018,26,520,0.253187,0.886912,0.45869,20,35,50,6.33426,0.862554,4.01849,3,6,3,0.510109,0.784695,0.479187,2
1018,31,620,0.0851169,0.645883,0.59203,20,35,50,6.80322,3.84371,2.01214,3,5,4,0.439042,0.637151,0.583526,2
1018,36,720,0,0.495621,0.806887,20,35,50,7.95688,3.92529,1.86398,0,5,7,0,0.551296,0.669703,3
1018,41,820,0,0.313006,0.902386,20,35,50,8.48467,5.49092,0.825013,0,5,7,0,0.467314,0.735362,3
1018,46,920,0,0.0324612,0.710855,20,35,50,8.76884,8.34826,2.43603,0,0,12,0,0,0.622369,3
1018,51,1020,0,0,0.439577,20,35,50,7.76491,8.28045,5.61771,0,0,12,0,0,0.441225,3
1018,56,1120,0,0,0.316978,20,35,50,7.91566,8.22905,6.10805,0,0,12,0,0,0.378283,3
1019,1,20,0.624768,0,0,20,35,50,2.85184,8.09973,8.09805,12,0,0,0.739294,0,0,1
1019,6,120,0.807553,0.0929004,0,20,35,50,1.2171,7.09458,7.75591,9,3,0,0.87718,0.317119,0,1
1019,11,220,0.926442,0.405946,0,20,35,50,0.471033,4.96673,7.85105,8,4,0,0.913716,0.506055,0,1
1019,16,320,0.701999,0.559729,0,20,35,50,2.19713,3.16366,8.07249,7,5,0,0.7897,0.614188,0,1
1019,21,420,0.466312,0.760753,0.173352,20,35,50,4.18396,1.91905,6.41601,5,5,2,0.652782,0.710165,0.30317,2
1019,26,520,0.372703,0.921305,0.384978,20,35,50,5.91444,1.22292,6.08086,4,6,2,0.573553,0.824319,0.407764,2
1019,31,620,0.12061,0.701633,0.619601,20,35,50,7.19735,2.0649,3.04297,3,5,4,0.44163,0.693936,0.568338,2
1019,36,720,0,0.549242,0.827413,20,35,50,7.81795,3.54833,1.00293,0,5,7,0,0.586027,0.710527,3
1019,41,820,0,0.235132,1,20,35,50,8.16028,5.71792,0.347677,0,4,8,0,0.415019,0.806933,3
1019,46,920,0,0.0592611,0.733441,20,35,50,8.41269,6.92458,2.58949,0,4,8,0,0.327558,0.632025,3
1019,51,1020,0,0,0.526612,20,35,50,7.92448,8.85927,3.53904,0,0,12,0,0,0.526408,3
1019,56,1120,0,0,0.323451,20,35,50,8.6118,8.47919,5.1027,0,0,12,0,0,0.402895,3
1020,1,20,0.714578,0,0,20,35,50,2.76949,7.83701,8.33408,12,0,0,0.783833,0,0,1
1020,6,120,0.783929,0.190112,0,20,35,50,2.17629,6.42485,7.90827,8,4,0,0.84186,0.389277,0,1
1020,11,220,0.903022,0.343679,0,20,35,50,1.81619,5.29958,7.39739,8,4,0,0.894629,0.473217,0,1
